iter	Passed	Remaining
0	158	158500
1	159	79819
2	161	53630
3	162	40522
4	164	32712
5	165	27453
6	166	23680
7	168	20868
8	169	18665
9	170	16908
10	172	15482
11	173	14289
12	174	13273
13	176	12402
14	177	11674
15	178	11008
16	180	10418
17	181	9891
18	182	9423
19	183	9001
20	185	8627
21	186	8299
22	188	7992
23	189	7697
24	190	7420
25	191	7165
26	192	6931
27	193	6709
28	194	6499
29	194	6299
30	195	6111
31	196	5934
32	196	5770
33	197	5618
34	198	5471
35	199	5329
36	199	5195
37	200	5067
38	200	4946
39	201	4831
40	201	4721
41	202	4617
42	202	4516
43	203	4421
44	204	4330
45	204	4245
46	205	4162
47	205	4082
48	206	4010
49	207	3937
50	207	3865
51	208	3796
52	208	3730
53	209	3667
54	209	3606
55	210	3546
56	210	3489
57	211	3434
58	212	3381
59	212	3329
60	213	3279
61	213	3232
62	214	3186
63	214	3140
64	215	3096
65	215	3054
66	216	3012
67	216	2968
68	217	2929
69	217	2891
70	218	2855
71	218	2819
72	219	2784
73	219	2750
74	220	2716
75	220	2684
76	221	2655
77	222	2624
78	222	2596
79	223	2567
80	223	2538
81	224	2511
82	224	2484
83	225	2457
84	225	2430
85	226	2405
86	226	2379
87	227	2355
88	227	2331
89	228	2311
90	229	2292
91	230	2271
92	230	2252
93	231	2232
94	232	2212
95	232	2192
96	233	2173
97	234	2154
98	234	2136
99	235	2120
100	236	2106
101	237	2087
102	237	2070
103	238	2053
104	238	2036
105	246	2075
106	246	2059
107	247	2042
108	249	2041
109	250	2027
110	251	2011
111	251	1997
112	252	1980
113	252	1965
114	253	1949
115	253	1933
116	254	1918
117	254	1904
118	255	1889
119	255	1874
120	256	1860
121	256	1847
122	257	1832
123	257	1819
124	258	1806
125	258	1794
126	259	1781
127	259	1768
128	260	1756
129	260	1744
130	261	1732
131	261	1720
132	262	1708
133	262	1697
134	263	1685
135	263	1674
136	264	1663
137	264	1652
138	265	1641
139	265	1630
140	265	1620
141	266	1611
142	267	1601
143	267	1591
144	268	1582
145	268	1572
146	269	1563
147	269	1553
148	270	1544
149	271	1535
150	271	1526
151	272	1517
152	272	1508
153	273	1499
154	273	1491
155	273	1482
156	274	1473
157	274	1465
158	275	1456
159	275	1448
160	276	1440
161	276	1432
162	277	1424
163	277	1416
164	278	1408
165	278	1401
166	279	1393
167	279	1386
168	280	1378
169	280	1371
170	281	1365
171	282	1358
172	282	1351
173	283	1344
174	283	1338
175	284	1331
176	284	1324
177	285	1318
178	286	1311
179	286	1305
180	286	1297
181	287	1291
182	287	1285
183	288	1279
184	288	1272
185	289	1266
186	290	1260
187	290	1254
188	291	1248
189	291	1243
190	292	1237
191	292	1231
192	293	1225
193	293	1220
194	294	1214
195	294	1209
196	295	1203
197	295	1198
198	296	1193
199	297	1188
200	297	1182
201	298	1177
202	298	1172
203	299	1167
204	299	1162
205	300	1157
206	300	1152
207	301	1147
208	301	1142
209	302	1137
210	302	1132
211	303	1127
212	303	1123
213	304	1118
214	305	1113
215	305	1109
216	306	1104
217	306	1099
218	307	1095
219	307	1090
220	308	1086
221	308	1081
222	309	1077
223	309	1073
224	310	1068
225	310	1064
226	311	1060
227	311	1056
228	312	1051
229	312	1047
230	313	1043
231	314	1039
232	314	1036
233	315	1032
234	315	1028
235	316	1024
236	317	1021
237	317	1017
238	318	1013
239	318	1010
240	319	1006
241	320	1002
242	320	999
243	321	996
244	322	992
245	322	989
246	323	986
247	324	982
248	324	979
249	325	975
250	325	972
251	326	969
252	327	966
253	328	963
254	328	960
255	329	956
256	329	953
257	330	950
258	331	946
259	331	943
260	332	940
261	332	937
262	333	934
263	334	931
264	334	928
265	335	925
266	335	922
267	336	919
268	337	916
269	337	912
270	338	909
271	338	906
272	339	903
273	340	900
274	340	898
275	341	895
276	342	893
277	343	891
278	343	888
279	344	885
280	344	882
281	345	879
282	346	877
283	346	874
284	347	871
285	348	869
286	348	866
287	349	863
288	349	860
289	350	858
290	351	855
291	351	852
292	352	850
293	353	847
294	353	845
295	354	842
296	354	839
297	355	837
298	356	834
299	356	832
300	357	830
301	358	827
302	358	825
303	359	822
304	360	820
305	360	817
306	361	815
307	361	813
308	362	810
309	363	808
310	363	806
311	364	803
312	365	801
313	365	799
314	366	796
315	366	794
316	367	792
317	368	789
318	368	787
319	369	784
320	369	782
321	370	780
322	372	779
323	372	777
324	373	775
325	374	773
326	374	771
327	375	769
328	376	767
329	377	765
330	377	763
331	378	761
332	379	759
333	380	757
334	380	755
335	381	753
336	382	751
337	382	750
338	383	748
339	384	747
340	385	745
341	386	743
342	387	741
343	388	739
344	388	738
345	389	736
346	390	734
347	391	733
348	392	731
349	392	729
350	393	727
351	394	725
352	394	723
353	395	721
354	395	719
355	396	717
356	397	715
357	397	712
358	398	710
359	398	709
360	399	707
361	400	705
362	400	703
363	401	701
364	402	699
365	402	697
366	403	695
367	404	693
368	404	692
369	405	690
370	405	688
371	406	686
372	407	684
373	407	682
374	408	680
375	409	678
376	409	677
377	410	675
378	410	673
379	411	671
380	412	669
381	412	667
382	413	665
383	414	664
384	414	662
385	415	660
386	415	658
387	416	657
388	417	655
389	418	653
390	418	652
391	419	650
392	419	648
393	420	646
394	421	645
395	421	643
396	422	641
397	422	639
398	423	637
399	423	635
400	424	633
401	424	631
402	425	629
403	425	627
404	426	626
405	426	624
406	427	622
407	430	624
408	430	622
409	431	621
410	432	619
411	433	618
412	434	617
413	435	616
414	436	615
415	437	614
416	439	614
417	440	613
418	441	612
419	442	611
420	443	610
421	444	609
422	445	608
423	447	607
424	448	606
425	449	605
426	450	604
427	451	603
428	452	602
429	453	601
430	454	600
431	455	599
432	456	598
433	457	597
434	458	595
435	460	595
436	461	594
437	462	593
438	463	592
439	465	592
440	466	591
441	467	590
442	468	589
443	470	588
444	471	588
445	474	588
446	475	587
447	476	587
448	478	586
449	479	585
450	479	584
451	480	582
452	481	581
453	483	580
454	483	579
455	484	578
456	485	576
457	485	575
458	486	573
459	487	572
460	487	570
461	488	569
462	489	567
463	490	566
464	490	564
465	491	563
466	493	562
467	494	561
468	494	560
469	495	559
470	496	557
471	497	556
472	498	554
473	498	553
474	499	551
475	500	550
476	501	549
477	502	548
478	503	547
479	503	545
480	504	544
481	505	543
482	506	541
483	506	540
484	507	539
485	508	538
486	509	536
487	510	535
488	510	533
489	511	532
490	511	530
491	513	529
492	513	528
493	514	527
494	515	525
495	516	524
496	516	523
497	517	521
498	518	520
499	518	518
500	519	517
501	520	516
502	520	514
503	521	513
504	523	512
505	524	512
506	525	510
507	526	509
508	526	508
509	527	506
510	528	505
511	528	504
512	529	502
513	530	501
514	530	499
515	531	498
516	531	496
517	532	495
518	533	494
519	533	492
520	534	491
521	535	490
522	535	488
523	536	487
524	537	485
525	538	485
526	538	483
527	539	482
528	540	481
529	541	479
530	541	478
531	542	477
532	542	475
533	543	474
534	545	473
535	546	473
536	547	471
537	547	470
538	548	469
539	549	467
540	549	466
541	550	464
542	550	463
543	551	462
544	551	460
545	552	459
546	553	458
547	553	456
548	554	455
549	555	454
550	556	453
551	557	452
552	557	450
553	558	449
554	558	448
555	559	446
556	559	445
557	560	443
558	561	442
559	561	441
560	562	439
561	562	438
562	563	437
563	563	435
564	564	434
565	564	433
566	565	431
567	565	430
568	566	429
569	568	428
570	569	427
571	570	426
572	570	425
573	571	423
574	571	422
575	572	421
576	572	419
577	573	418
578	573	417
579	574	415
580	574	414
581	574	412
582	575	411
583	576	410
584	576	409
585	577	407
586	577	406
587	578	405
588	578	403
589	579	402
590	579	401
591	580	400
592	580	398
593	581	397
594	581	396
595	582	394
596	583	393
597	583	392
598	584	391
599	584	389
600	585	388
601	585	387
602	586	385
603	586	384
604	587	383
605	587	382
606	588	380
607	588	379
608	589	378
609	589	377
610	590	375
611	590	374
612	591	373
613	591	372
614	592	370
615	592	369
616	593	368
617	594	367
618	594	366
619	595	364
620	595	363
621	596	362
622	596	361
623	597	359
624	598	358
625	598	357
626	599	356
627	599	355
628	600	353
629	600	352
630	601	351
631	601	350
632	602	349
633	602	347
634	602	346
635	603	345
636	603	344
637	604	343
638	605	341
639	605	340
640	606	339
641	606	338
642	607	337
643	607	335
644	608	334
645	608	333
646	609	332
647	609	331
648	610	330
649	610	328
650	611	327
651	611	326
652	612	325
653	613	324
654	613	323
655	614	322
656	614	320
657	615	319
658	615	318
659	616	317
660	616	316
661	617	315
662	617	314
663	618	312
664	619	311
665	619	310
666	620	309
667	620	308
668	621	307
669	621	306
670	622	305
671	622	304
672	623	302
673	623	301
674	624	300
675	625	299
676	625	298
677	626	297
678	626	296
679	627	295
680	628	294
681	628	293
682	629	292
683	629	290
684	630	289
685	630	288
686	631	287
687	631	286
688	632	285
689	632	284
690	633	283
691	633	282
692	634	281
693	634	279
694	635	278
695	636	277
696	636	276
697	637	275
698	637	274
699	638	273
700	638	272
701	639	271
702	639	270
703	640	269
704	641	268
705	641	267
706	642	266
707	643	265
708	644	264
709	644	263
710	645	262
711	646	261
712	646	260
713	647	259
714	648	258
715	648	257
716	649	256
717	649	255
